100207720.jpg| 0| A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .;
100207720.jpg| 1| A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .;
100207720.jpg| 2| A woman wearing glasses sprinkles powdered sugar onto her bundt cake .;
100207720.jpg| 3| Girl in black jacket sifting powdered sugar over a chocolate cake .;
100207720.jpg| 4| A standing woman holds a pan over a cake .;
10101477.jpg| 0| Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .;
10101477.jpg| 1| A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .;
10101477.jpg| 2| A man in a white and blue kimono is using a broom to sweep pavement .;
10101477.jpg| 3| Man sweeping the street outside .;
10101477.jpg| 4| Asian man sweeping the walkway .;
101958970.jpg| 0| A man and a little girl happily posing in front of their cart in a supermarket .;
101958970.jpg| 1| A man sitting with his daughter in his daughter 's pink car in a grocery store .;
101958970.jpg| 2| A man is sitting on a pink cart with a little girl in the grocery store .;
101958970.jpg| 3| A man with his daughter sitting on a stroller in a supermarket .;
101958970.jpg| 4| The little girl and the man are smiling .;
102030371.jpg| 0| A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .;
102030371.jpg| 1| Guy in green shirt with hand covering part of his face in restaurant booth .;
102030371.jpg| 2| Man sitting at a table at a restaurant with a glass of water .;
102030371.jpg| 3| A man in a green sweater and black vest sitting in a booth .;
102030371.jpg| 4| A boy in a green sweater is sitting at a table .;
1021439420.jpg| 0| two guys sitting on the floor , with the guy in the green jacket reading a piece of paper .;
1021439420.jpg| 1| A elderly father and his grown son are preparing for a camping trip in the wild .;
1021439420.jpg| 2| Two men sit on the floor with camping equipment .;
1021439420.jpg| 3| Two men sitting on their living floor .;
1021439420.jpg| 4| Two guys sorting through some items .;
1027149103.jpg| 0| A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .;
1027149103.jpg| 1| In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt .;
1027149103.jpg| 2| A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening .;
1027149103.jpg| 3| A man in an orange shirt sings for the crowd below a sign that says Lucky 13 .;
1027149103.jpg| 4| A punk rocker screaming on stage at concert .;
1042590306.jpg| 0| A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .;
1042590306.jpg| 1| Guy in blue shirt biting hand of girl in black striped jacket while another guy watches;
1042590306.jpg| 2| Asian man and blond woman holding hands outdoors , man in background watches .;
1042590306.jpg| 3| A man and woman pose for the camera while another man looks on .;
1042590306.jpg| 4| A multiracial couple posing for a picture;
1051290485.jpg| 0| Two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .;
1051290485.jpg| 1| Two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .;
1051290485.jpg| 2| A little girl is looking at some plants while another is on the phone in the background .;
1051290485.jpg| 3| Two girls crouch in front of some bushes and talk on their phones .;
