1014785440.jpg| 0| Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .;
1014785440.jpg| 1| Two men , each with a small child on their backs , walk on a paved road .;
1014785440.jpg| 2| Two men are out for a stroll with their two young children .;
1014785440.jpg| 3| Men walking down a street with children .;
1014785440.jpg| 4| Two men walking with children .;
101559400.jpg| 0| Men in the business suits are crossing the street , and there are people with placards are gathering on the street .;
101559400.jpg| 1| A man in a suit runs across an intersection while a large group of people assembles .;
101559400.jpg| 2| A man in a suit is running past two other gentleman , also dressed in a suit .;
101559400.jpg| 3| A man in a suit is hurrying across the street .;
101559400.jpg| 4| A man in a suit is running across the street .;
1016626169.jpg| 0| Man on scooter attracts attention from some of those in large crowd .;
1016626169.jpg| 1| A crowd is standing and waiting for the green light .;
1016626169.jpg| 2| People stop and look at an older woman outside .;
1016626169.jpg| 3| A crowd of people waiting to cross a street .;
1016626169.jpg| 4| A crowd of people waiting for the light .;
1020651753.jpg| 0| A white dog is trying to catch a ball in midair over a grassy field .;
1020651753.jpg| 1| The white dog is playing in a green field with a yellow toy .;
1020651753.jpg| 2| a black and white dog jumping in the air to get a toy .;
1020651753.jpg| 3| A black and white dog jumps up towards a yellow toy .;
1020651753.jpg| 4| A dog leaps to catch a ball in a field .;
1021293940.jpg| 0| Two men are hiking in a forest where snow is partially covering the ground .;
1021293940.jpg| 1| Two men hiking in the snowy wilderness .;
1021293940.jpg| 2| Two hikers resting by a patch of snow .;
1021293940.jpg| 3| Two men look up while hiking .;
1021293940.jpg| 4| Two men hiking in the snow .;
1022975728.jpg| 0| A black lab with tags frolicks in the water .;
1022975728.jpg| 1| This is a black dog splashing in the water .;
1022975728.jpg| 2| The black dog runs through the water .;
1022975728.jpg| 3| A black dog running in the surf .;
1022975728.jpg| 4| A dog splashes in the water;
102860573.jpg| 0| A construction site on a street with three men working .;
102860573.jpg| 1| Two men wearing hard hats are in a construction area .;
102860573.jpg| 2| Two men in orange vests work in road construction .;
102860573.jpg| 3| Construction workers installing a light post .;
102860573.jpg| 4| Workers in orange vests work in a street .;
10287332.jpg| 0| Two men sitting on the roof of a house while another one stands on a ladder .;
10287332.jpg| 1| Two men on a rooftop while another man stands atop a ladder watching them;
10287332.jpg| 2| Three men , one on a ladder , work on a roof .;
10287332.jpg| 3| People are fixing the roof of a house .;
10287332.jpg| 4| Three men are working on a roof .;
103195344.jpg| 0| The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .;
103195344.jpg| 1| A man in black is sitting next to a modern art structure in front of a glass building .;
103195344.jpg| 2| A man sits and reads a newspaper by a sculpture outside of an office building .;
103195344.jpg| 3| A man sitting in front of a metal sculpture in front of a building .;
103195344.jpg| 4| a man sits near a large statue .;
103328091.jpg| 0| A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits .;
103328091.jpg| 1| man in red shirt is sitting next to fruit that is for sale .;
103328091.jpg| 2| A man in a red shirt is sitting by fruit for sale .;
103328091.jpg| 3| A man in a red shirt sits next to a fruit stand .;
103328091.jpg| 4| An oriental man selling produce .;
104835889.jpg| 0| A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .;
104835889.jpg| 1| A man in a black martial arts suit unsheathes a sword on a training mat in a field .;
104835889.jpg| 2| A guy with a sword and traditional fighting gear is getting ready for a fight .;
104835889.jpg| 3| A man in black wields a sword in front of rolling , green hills .;
104835889.jpg| 4| One man dressed in black doing karate in a green field .;
1068427675.jpg| 0| A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .;
1068427675.jpg| 1| A guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .;
1068427675.jpg| 2| A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .;
1068427675.jpg| 3| A man stand there after rolling a bowling ball down a lane .;
1068427675.jpg| 4| Man finished throwing bowling ball towards bowling pins .;
1082110795.jpg| 0| Two gentlemen in baseball caps and shirts , work on the engine of an old , rusted VW beetle .;
1082110795.jpg| 1| An older guy looking at a classic , rustic , volkswagen beetle .;
1082110795.jpg| 2| Two men working on a yellow Volkswagen beetle .;
1082110795.jpg| 3| Two men looking at a beat up old car .;
1082110795.jpg| 4| Two men are working on an old car .;
1082223338.jpg| 0| A man kneels on the ground doing some sort of project on his own .;
1082223338.jpg| 1| woman with blue gloves working on the sidewalk with some cleaner;
1082223338.jpg| 2| A short , brown hair girl is assembling a pink roof cover .;
1082223338.jpg| 3| A woman assembles a white metal frame on the sidewalk .;
1082223338.jpg| 4| A young woman sands down an old shelf .;
111537222.jpg| 0| A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .;
